Source,Filename,Youtube,Delay,Speed,Remove Black Bar,Notes
DLC1,Dinosaur Jr - Pick Me Up,Not Checked Yet,,,FALSE,
DLC1,Dinosaur Jr - The Wagon,Not Checked Yet,,,FALSE,
DLC1,Dio - Holy Diver,Not Checked Yet,,,FALSE,
DLC1,Dio - Stand Up and Shout,Not Checked Yet,,,FALSE,
DLC1,Disturbed - Another Way to Die,https://www.youtube.com/watch?v=HwELajFteTo,-20354,100,FALSE,
DLC1,Disturbed - Asylum,https://www.youtube.com/watch?v=1K9jBL2syJ8,-106380,100,FALSE,
DLC1,Disturbed - Indestructible,https://www.youtube.com/watch?v=aWxBrI0g1kE,-12312,100,FALSE,
DLC1,Disturbed - Inside the Fire,https://www.youtube.com/watch?v=rxujAPhxlo0,60042,100,FALSE,
DLC1,Disturbed - Meaning of Life,Not Found,,,FALSE,
DLC1,Disturbed - Perfect Insanity,Not Found,,,FALSE,
DLC1,Disturbed - Stricken,https://www.youtube.com/watch?v=I77mjesUbkw,0,100.03,FALSE,
DLC1,Disturbed - Stupify,https://www.youtube.com/watch?v=GVcY--XzeIc,-3837,99.98,FALSE,
DLC1,Disturbed - The Animal,https://www.youtube.com/watch?v=dwxUgefMStM,6506,100,FALSE,
DLC1,Disturbed - The Game,Not Found,,,FALSE,
DLC1,Disturbed - Voices,https://www.youtube.com/watch?v=AwLxg-yvEmc,11970,100.13,FALSE,
DLC1,Dixie Chicks - Sin Wagon,Not Checked Yet,,,FALSE,
DLC1,Dream Theater - Constant Motion,Not Checked Yet,,,FALSE,
DLC1,Drive-By Truckers - 3 Dimes Down,Not Checked Yet,,,FALSE,
DLC1,Dropkick Murphys - I'm Shipping Up to Boston,Not Checked Yet,,,FALSE,
DLC1,Duran Duran - Girls on Film,Not Checked Yet,,,FALSE,
DLC1,Duran Duran - Rio,Not Checked Yet,,,FALSE,
DLC1,Dwight Yoakam - Intentional Heartache,Not Checked Yet,,,FALSE,
DLC1,Eagles of Death Metal - I Only Want You,Not Checked Yet,,,FALSE,
DLC1,"Earth, Wind & Fire - Shining Star",Not Checked Yet,,,FALSE,
DLC1,EELS - Saturday Morning,Not Checked Yet,,,FALSE,
DLC1,Electric Six - Dance Epidemic,Not Checked Yet,,,FALSE,
DLC1,Electric Six - Gay Bar,Not Checked Yet,,,FALSE,
DLC1,Electric Six - I Don't Like You,Not Checked Yet,,,FALSE,
DLC1,Elvis Costello - Radio Radio,Not Checked Yet,,,FALSE,
DLC1,Endeverafter - I Wanna Be Your Man,Not Checked Yet,,,FALSE,
DLC1,Eric Cartman - Lady Gaga's 'Poker Face' (South Park Version),Not Found,,,FALSE,
DLC1,Eric Church - Hell on the Heart,Not Checked Yet,,,FALSE,
DLC1,Escape the Fate - The Flood,Not Checked Yet,,,FALSE,
DLC1,Evanescence - Bring Me to Life,https://www.youtube.com/watch?v=3YxaaGgTQYM,11480,100,FALSE,No sync possible without re-edit
DLC1,Evanescence - Call Me When You're Sober,https://www.youtube.com/watch?v=_RrA-R5VHQs,-5138,100,FALSE,
DLC1,Evanescence - Weight of the World,Not Found,,,FALSE,
DLC1,Eve 6 - Inside Out,Not Checked Yet,,,FALSE,
DLC1,Evile - Thrasher,https://www.youtube.com/watch?v=924bRfmiJ20,-3040,100,FALSE,
DLC1,Faith No More - We Care A Lot,Not Checked Yet,,,FALSE,
DLC1,Fall Out Boy - I Don't Care,https://www.youtube.com/watch?v=Alh6iIvVN9o,20020,100,FALSE,"End desync, could cut a small meme cat part out"
DLC1,"Fall Out Boy - This Ain't A Scene, It's An Arms Race",https://www.youtube.com/watch?v=GNm5drtAQXs,16642,100,FALSE,"Desynch near the end, dream sequence"
DLC1,Family Force 5 - Love Addict,Not Checked Yet,,,FALSE,
DLC1,Finley - Tutto è Possibile,Not Checked Yet,,,FALSE,
DLC1,Fleetwood Mac - Don't Stop,Not Checked Yet,,,FALSE,
DLC1,Fleetwood Mac - World Turning,Not Checked Yet,,,FALSE,
DLC1,Flobots - Handlebars,Not Checked Yet,,,FALSE,
DLC1,Flyleaf - Again,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - All My Life,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Best of You,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - DOA,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Doll,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Enough Space,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - February Stars,Not Checked Yet,,,FALSE,
DLC1,"Foo Fighters - Hey, Johnny Park!",Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - I'll Stick Around,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Lonely As You,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Monkey Wrench,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - My Hero,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - My Poor Brain,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - New Way Home,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - See You,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - The Pretender,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - This Is a Call,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Times Like These,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Up in Arms,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Walking After You,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Wheels,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Wind Up,Not Checked Yet,,,FALSE,
DLC1,Foo Fighters - Word Forward,Not Checked Yet,,,FALSE,
DLC1,"Foreigner - Blue Morning, Blue Day",Not Checked Yet,,,FALSE,
